Feature,Importance
num__Age,0.018272692800912708
num__TenureMonths,0.030564609872211348
num__MonthlyDataGB,0.0183570927346563
num__MonthlyVoiceMins,0.018494021816488307
num__MonthlySMSCount,0.018523933074684175
num__MonthlyMpesaTransactions,0.015446585949584788
num__MonthlySpendKES,0.023516187481609382
num__HasMpesa,0.012751557526186152
num__HasSafaricomHome,0.03506232263719078
num__HasShowmax,0.027690170103309802
num__HasInternationalRoaming,0.005261330590377926
num__NumServices,0.08021071267024367
num__CustomerServiceCalls,0.03554066994096761
num__NetworkComplaints,0.16259196114422692
num__UnresolvedComplaints,0.086667377591085
num__NetworkQualityScore,0.08336867293308582
num__DaysSinceLastTopup,0.04114900746790467
num__ContractMonths,0.025513956533202715
cat__Region_Eldoret,0.0029221546750692363
cat__Region_Garissa,0.0030247214158322256
cat__Region_Kisumu,0.00333615685832311
cat__Region_Machakos,0.0011491139258250718
cat__Region_Meru,0.0006684792945767707
cat__Region_Mombasa,0.004164784986396898
cat__Region_Nairobi,0.02415185300126585
cat__Region_Nakuru,0.003822798136055147
cat__Region_Nyeri,0.000877546825299927
cat__Region_Thika,0.00287121144552289
cat__Plan_Hybrid,0.015029950061811024
cat__Plan_Postpaid,0.04620066127531826
cat__Plan_Prepaid,0.06165069361220562
cat__DeviceType_Dongle,0.0023556207808076864
cat__DeviceType_Feature Phone,0.011553798165836605
cat__DeviceType_Smartphone,0.02312667720785048
cat__DeviceType_Tablet,0.004815128700059102
cat__CustomerSegment_Consumer,0.026797163554279746
cat__CustomerSegment_Enterprise,0.003917395405718363
cat__CustomerSegment_SME,0.013927550504928615
cat__CustomerSegment_Youth,0.004653677299089545
